"date","close","volume","open","high","low"
"16:00","102.80","28,314,202","103.13","103.44","101.64"
"2019/01/11","102.8000","28235260.0000","103.1900","103.4400","101.6400"
"2019/01/10","103.6000","29978930.0000","103.2200","103.7500","102.3800"
"2019/01/09","104.2700","32261890.0000","103.8600","104.8800","103.2445"
"2019/01/08","102.8000","31322920.0000","103.0400","103.9700","101.7134"
"2019/01/07","102.0600","35567820.0000","101.6400","103.2681","100.9800"
"2019/01/04","101.9300","43982700.0000","99.7200","102.5100","98.9300"
"2019/01/03","97.4000","42111650.0000","100.1000","100.1850","97.2000"
"2019/01/02","101.1200","35145360.0000","99.5500","101.7500","98.9400"
"2018/12/31","101.5700","33161320.0000","101.2900","102.4000","100.4400"
"2018/12/28","100.3900","38160810.0000","102.0900","102.4100","99.5200"
"2018/12/27","101.1800","49162950.0000","99.3000","101.1900","96.4000"
"2018/12/26","100.5600","51330280.0000","95.1400","100.6900","93.9600"
"2018/12/24","94.1300","43935190.0000","97.6800","97.9700","93.9800"
"2018/12/21","98.2300","110945000.0000","101.6300","103.0000","97.4600"
"2018/12/20","101.5100","70221500.0000","103.0500","104.3100","98.7800"
"2018/12/19","103.6900","68110780.0000","103.6500","106.8800","101.3500"
"2018/12/18","103.9700","48033550.0000","103.7500","104.5100","102.5200"
"2018/12/17","102.8900","56837160.0000","105.4100","105.8000","101.7100"
"2018/12/14","106.0300","46961130.0000","108.2500","109.2600","105.5000"
"2018/12/13","109.4500","30600890.0000","109.5800","110.8700","108.6300"
"2018/12/12","109.0800","36169700.0000","110.8900","111.2700","109.0400"
"2018/12/11","108.5900","42342240.0000","109.8000","110.9500","107.4400"
"2018/12/10","107.5900","40463870.0000","104.8000","107.9800","103.8900"
"2018/12/07","104.8200","44391210.0000","108.3800","109.4500","104.3000"
"2018/12/06","109.1900","47866160.0000","105.8200","109.2400","105.0000"
"2018/12/04","108.5200","44572140.0000","111.9400","112.6373","108.2115"
"2018/12/03","112.0900","34293960.0000","113.0000","113.4200","110.7300"
"2018/11/30","110.8900","33652230.0000","110.7000","110.9700","109.3600"
"2018/11/29","110.1900","27792540.0000","110.3300","111.1150","109.0300"
"2018/11/28","111.1200","46132310.0000","107.8900","111.3300","107.8600"
"2018/11/27","107.1400","29063180.0000","106.2700","107.3300","105.3600"
"2018/11/26","106.4700","32258530.0000","104.7900","106.6300","104.5800"
"2018/11/23","103.0700","13823100.0000","102.1700","103.8099","102.0000"
"2018/11/21","103.1100","28121990.0000","103.6000","104.4300","102.2400"
"2018/11/20","101.7100","63988520.0000","101.8000","102.9700","99.3528"
"2018/11/19","104.6200","43324610.0000","108.2700","108.5600","103.5500"
"2018/11/16","108.2900","33494830.0000","107.0800","108.8800","106.8000"
"2018/11/15","107.2800","38430970.0000","104.9900","107.8000","103.9100"
"2018/11/14","104.9700","39451290.0000","108.1000","108.2600","104.4700"
"2018/11/13","106.9400","35360680.0000","107.5500","108.7400","106.6400"
"2018/11/12","106.8700","33595910.0000","109.4200","109.9600","106.1000"
"2018/11/09","109.5700","32011930.0000","110.8500","111.4500","108.7600"
"2018/11/08","111.7500","25479410.0000","111.8000","112.2100","110.9100"
"2018/11/07","111.9600","37864220.0000","109.4400","112.2400","109.4000"
"2018/11/06","107.7200","24217640.0000","107.3800","108.8400","106.2800"
"2018/11/05","107.5100","27908600.0000","106.3700","107.7400","105.9000"
"2018/11/02","106.1600","37591700.0000","106.4800","107.3200","104.9750"
"2018/11/01","105.9200","33243300.0000","107.0500","107.3200","105.5300"
"2018/10/31","106.8100","51042220.0000","105.4350","108.1400","105.3900"
"2018/10/30","103.7300","65273360.0000","103.6600","104.3800","100.1100"
"2018/10/29","103.8500","55101300.0000","108.1050","108.7000","101.6300"
"2018/10/26","106.9600","55480820.0000","105.6900","108.7500","104.7600"
"2018/10/25","108.3000","61550620.0000","106.5500","109.2700","106.1500"
"2018/10/24","102.3200","63236450.0000","108.4100","108.4900","101.5901"
"2018/10/23","108.1000","43531680.0000","107.7700","108.9700","105.1100"
"2018/10/22","109.6300","26484510.0000","109.3200","110.5400","108.2400"
"2018/10/19","108.6600","32751070.0000","108.9300","110.8600","108.2100"
"2018/10/18","108.5000","31794350.0000","110.1000","110.5300","107.8300"
"2018/10/17","110.7100","25873980.0000","111.6800","111.8100","109.5482"
"2018/10/16","111.0000","31154210.0000","109.5400","111.4100","108.9500"
"2018/10/15","107.6000","32001580.0000","108.9100","109.4800","106.9468"
"2018/10/12","109.5700","46718940.0000","109.0100","111.2400","107.1200"
"2018/10/11","105.9100","63629560.0000","105.3500","108.9300","104.2000"
"2018/10/10","106.1600","60560740.0000","111.2400","111.5000","105.7900"
"2018/10/09","112.2600","26187200.0000","111.1400","113.0800","110.8000"
"2018/10/08","110.8500","29477750.0000","111.6600","112.0300","109.3400"
"2018/10/05","112.1300","29062670.0000","112.6300","113.1700","110.6400"
"2018/10/04","112.7900","34475710.0000","114.6100","114.7588","111.6300"
"2018/10/03","115.1700","16130010.0000","115.4200","116.1800","114.9300"
"2018/10/02","115.1500","20180030.0000","115.3000","115.8400","114.4400"
"2018/10/01","115.6100","18610500.0000","114.7500","115.6800","114.7300"
"2018/09/28","114.3700","20525950.0000","114.1900","114.5700","113.6800"
"2018/09/27","114.4100","19053590.0000","114.7800","114.9100","114.2000"
"2018/09/26","113.9800","19322530.0000","114.4700","115.0550","113.7400"
"2018/09/25","114.4500","20782110.0000","114.8000","115.1000","113.7500"
"2018/09/24","114.6700","25273510.0000","113.0300","114.9000","112.2175"
"2018/09/21","114.2600","70363000.0000","114.0000","115.2900","113.5100"
"2018/09/20","113.5700","23667500.0000","112.2800","113.8000","111.9300"
"2018/09/19","111.7000","21663020.0000","113.0500","113.3200","111.0350"
"2018/09/18","113.2100","22114560.0000","112.1900","113.6950","111.7200"
"2018/09/17","112.1400","20332830.0000","113.6900","113.7000","111.8600"
"2018/09/14","113.3700","18261950.0000","113.3600","113.7300","112.4400"
"2018/09/13","112.9100","25107230.0000","112.1200","113.7250","112.1200"
"2018/09/12","111.7100","18855340.0000","111.4300","111.8500","110.5100"
"2018/09/11","111.2400","24081240.0000","108.9000","111.5900","108.8900"
"2018/09/10","109.3800","19887280.0000","108.8400","109.6400","108.3600"
"2018/09/07","108.2100","22273530.0000","108.2300","108.7248","107.2300"
"2018/09/06","108.7400","23226430.0000","108.2500","108.9900","107.5100"
"2018/09/05","108.4900","32838650.0000","111.0100","111.4200","108.1000"
"2018/09/04","111.7100","22558040.0000","110.8500","111.9550","110.2200"
"2018/08/31","112.3300","23217310.0000","111.6850","112.7770","111.5150"
"2018/08/30","111.9500","22759640.0000","111.6700","112.6100","111.4400"
"2018/08/29","112.0200","20747500.0000","110.4500","112.0300","110.2700"
"2018/08/28","110.2600","19144860.0000","109.9400","110.5000","109.7900"
"2018/08/27","109.6000","19439380.0000","109.2700","109.6400","108.5100"
"2018/08/24","108.4000","17188010.0000","107.6700","108.5600","107.5600"
"2018/08/23","107.5600","17996860.0000","107.1500","108.1800","106.8700"
"2018/08/22","107.0600","17878840.0000","105.8500","107.3400","105.7800"
"2018/08/21","105.9800","22825830.0000","106.9200","107.3500","105.8500"
"2018/08/20","106.8700","17327110.0000","107.5100","107.9000","106.4800"
"2018/08/17","107.5800","18051970.0000","107.3600","107.9000","106.6900"
"2018/08/16","107.6400","20687500.0000","108.3000","108.8600","107.3000"
"2018/08/15","107.6600","29947600.0000","108.4900","108.9850","106.8200"
"2018/08/14","109.5600","16777990.0000","108.5600","109.7500","108.0400"
"2018/08/13","108.2100","18470690.0000","109.2400","109.5800","108.1000"
"2018/08/10","109.0000","18171350.0000","109.4200","109.6900","108.3800"
"2018/08/09","109.6700","13634510.0000","109.7100","110.1600","109.6000"
"2018/08/08","109.4900","15461420.0000","109.3300","109.7500","108.7599"
"2018/08/07","108.8800","16070070.0000","108.5600","109.1000","108.1700"
"2018/08/06","108.1300","20234680.0000","108.1200","108.4200","107.5590"
"2018/08/03","108.0400","18629310.0000","107.8000","108.0500","106.8200"
"2018/08/02","107.5700","26080740.0000","105.4000","108.0900","104.8400"
"2018/08/01","106.2800","23617980.0000","106.0300","106.4460","105.4200"
"2018/07/31","106.0800","27181070.0000","106.4900","106.7200","105.3800"
"2018/07/30","105.3700","34495720.0000","107.1900","107.5300","104.7600"
"2018/07/27","107.6800","36916780.0000","110.1800","110.1800","106.1400"
"2018/07/26","109.6200","31332820.0000","110.7400","111.0000","109.5000"
"2018/07/25","110.8300","30586770.0000","107.9550","111.1500","107.6000"
"2018/07/24","107.6600","26308190.0000","108.5700","108.8200","107.2600"
"2018/07/23","107.9700","29226800.0000","106.3000","108.1400","106.1300"
"2018/07/20","106.2700","55999890.0000","108.0800","108.2000","106.0800"
"2018/07/19","104.4000","38193270.0000","104.9300","105.3100","103.8900"
"2018/07/18","105.1200","29055780.0000","105.9400","106.0500","104.7150"
"2018/07/17","105.9500","25864500.0000","104.6100","106.5000","104.3200"
"2018/07/16","104.9100","20782300.0000","105.4000","105.8200","104.5150"
"2018/07/13","105.4300","24578340.0000","104.3700","105.6000","104.0900"
"2018/07/12","104.1900","24270690.0000","102.7700","104.4100","102.7300"
"2018/07/11","101.9800","19278720.0000","101.1500","102.3400","101.1000"
"2018/07/10","102.1200","19180850.0000","102.0000","102.5100","101.8600"
"2018/07/09","101.8500","16410950.0000","101.6450","102.2500","101.2510"
"2018/07/06","101.1600","18238570.0000","99.8850","101.4300","99.6700"
"2018/07/05","99.7600","18583280.0000","99.5000","99.9200","99.0299"
"2018/07/03","99.0500","14670280.0000","100.4800","100.6300","98.9400"
"2018/07/02","100.0100","18850500.0000","98.1000","100.0600","98.0000"
"2018/06/29","98.6100","27553700.0000","98.9300","99.9100","98.3300"
"2018/06/28","98.6300","26643410.0000","97.3800","99.1100","97.2600"
"2018/06/27","97.5400","31280700.0000","99.5800","100.0200","97.4000"
"2018/06/26","99.0800","26551930.0000","98.8200","100.0800","98.7500"
"2018/06/25","98.3900","35422640.0000","100.0000","100.1100","97.3000"
"2018/06/22","100.4100","38869490.0000","100.4100","100.7700","99.6250"
"2018/06/21","101.1400","21812100.0000","102.0750","102.4600","100.8800"
"2018/06/20","101.8700","26177810.0000","101.3700","102.5200","101.1200"
"2018/06/19","100.8600","27633590.0000","99.6500","101.0000","99.5000"
"2018/06/18","100.8600","22760070.0000","100.0100","101.1100","99.4200"
"2018/06/15","100.1300","65663130.0000","101.5100","101.5300","100.0700"
"2018/06/14","101.4200","25405900.0000","101.6500","102.0300","101.0000"
"2018/06/13","100.8500","28698040.0000","101.7200","102.0100","100.5600"
"2018/06/12","101.3100","18072860.0000","101.1000","101.4493","100.7500"
"2018/06/11","101.0500","22773270.0000","101.3700","101.5900","100.6700"
"2018/06/08","101.6300","22151500.0000","101.0920","101.9500","100.5400"
"2018/06/07","100.8800","28149340.0000","102.6500","102.6900","100.3800"
"2018/06/06","102.4900","21112450.0000","102.4800","102.6000","101.9000"
"2018/06/05","102.1900","23484820.0000","102.0000","102.3300","101.5300"
"2018/06/04","101.6700","27173310.0000","101.2600","101.8600","100.8510"
"2018/06/01","100.7900","28615930.0000","99.2800","100.8600","99.1700"
"2018/05/31","98.8400","34117650.0000","99.2900","99.9900","98.6100"
"2018/05/30","98.9500","21899560.0000","98.3100","99.2500","97.9100"
"2018/05/29","98.0100","28395290.0000","97.8400","98.8800","97.2300"
"2018/05/25","98.3600","17942630.0000","98.3000","98.9800","97.8600"
"2018/05/24","98.3100","26637580.0000","98.7250","98.9400","96.8100"
"2018/05/23","98.6600","21119770.0000","96.7100","98.7300","96.3200"
"2018/05/22","97.5000","15438990.0000","97.6800","98.1700","97.2000"
"2018/05/21","97.6000","18996380.0000","97.0000","98.0100","96.8000"
"2018/05/18","96.3600","17543940.0000","96.0100","96.9300","96.0100"
"2018/05/17","96.1800","17167840.0000","96.7600","97.5401","95.8300"
"2018/05/16","97.1500","17371190.0000","97.3600","97.4000","96.6150"
"2018/05/15","97.3200","24584910.0000","97.2400","97.8500","96.3400"
"2018/05/14","98.0300","19447690.0000","97.9200","98.6900","97.3100"
"2018/05/11","97.7000","16759750.0000","97.8000","97.8700","97.0400"
"2018/05/10","97.9100","22341300.0000","97.4600","97.9500","97.0500"
"2018/05/09","96.9400","27279420.0000","96.0100","96.9700","95.0500"
"2018/05/08","95.8100","22764250.0000","95.8456","96.1600","95.0631"
"2018/05/07","96.2200","23591080.0000","95.1700","96.7100","95.1000"
